Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Achievement Threshold,MORT-30-AMI Benchmark,MORT-30-AMI Baseline Rate,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Achievement Threshold,MORT-30-HF Benchmark,MORT-30-HF Baseline Rate,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Achievement Threshold,MORT-30-PN Benchmark,MORT-30-PN Baseline Rate,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,COMP-HIP-KNEE Achievement Threshold,COMP-HIP-KNEE Benchmark,COMP-HIP-KNEE Baseline Rate,COMP-HIP-KNEE Performance Rate,COMP-HIP-KNEE Achievement Points,COMP-HIP-KNEE Improvement Points,COMP-HIP-KNEE Measure Score
"140083","LORETTO HOSPITAL","645 SOUTH CENTRAL AVE","CHICAGO","IL","60644","Cook","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.890539","0.887788","2 out of 10","0 out of 9","2 out of 10","0.882334","0.907906","0.893493","0.897325","6 out of 10","2 out of 9","6 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"140084","VISTA MEDICAL CENTER EAST","1324 NORTH SHERIDAN ROAD","WAUKEGAN","IL","60085","Lake","0.850671","0.873263","0.837262","0.869901","8 out of 10","9 out of 9","9 out of 10","0.883472","0.908094","0.884542","0.901880","7 out of 10","7 out of 9","7 out of 10","0.882334","0.907906","0.854243","0.868262","0 out of 10","2 out of 9","2 out of 10","0.032229","0.023178","0.032693","0.021164","10 out of 10","9 out of 9","10 out of 10"
"140088","THE UNIVERSITY OF CHICAGO MEDICAL CENTER","5841 SOUTH MARYLAND","CHICAGO","IL","60637","Cook","0.850671","0.873263","0.852636","0.855670","2 out of 10","1 out of 9","2 out of 10","0.883472","0.908094","0.883618","0.890133","3 out of 10","2 out of 9","3 out of 10","0.882334","0.907906","0.884853","0.895224","5 out of 10","4 out of 9","5 out of 10","0.032229","0.023178","0.043587","0.035228","0 out of 10","4 out of 9","4 out of 10"
"140089","MC DONOUGH DISTRICT HOSPITAL","525 EAST GRANT STREET","MACOMB","IL","61455","McDonough","0.850671","0.873263","0.838560","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.882592","0.874755","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.891459","0.865829","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","0.033412","0.029258","3 out of 10","4 out of 9","4 out of 10"
"140091","THE CARLE FOUNDATION HOSPITAL","611 WEST PARK STREET","URBANA","IL","61801","Champaign","0.850671","0.873263","0.855267","0.852507","1 out of 10","0 out of 9","1 out of 10","0.883472","0.908094","0.880911","0.874612","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.881396","0.909995","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.038219","0.023759","9 out of 10","9 out of 9","9 out of 10"
"140093","OSF SACRED HEART MEDICAL CENTER","812 N LOGAN AVE","DANVILLE","IL","61832","Vermilion","0.850671","0.873263","0.861207","0.875853","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.858412","0.898328","6 out of 10","8 out of 9","8 out of 10","0.882334","0.907906","0.884468","0.915594","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.029606","0.024451","8 out of 10","8 out of 9","8 out of 10"
"140095","SAINT ANTHONY HOSPITAL","2875 WEST 19TH STREET","CHICAGO","IL","60623","Cook","0.850671","0.873263","0.852504","0.869349","8 out of 10","8 out of 9","8 out of 10","0.883472","0.908094","0.885358","0.889826","3 out of 10","1 out of 9","3 out of 10","0.882334","0.907906","0.887435","0.901249","7 out of 10","6 out of 9","7 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"140100","MIDWESTERN REGION MED CENTER","2520 ELISHA AVENUE","ZION","IL","60099","Lake","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","Not Available","Not Available","Not Available","Not Available","Not Available","0.882334","0.907906","Not Available","Not Available","Not Available","Not Available","Not Available","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"140101","MORRIS HOSPITAL & HEALTHCARE CENTERS","150 W HIGH ST","MORRIS","IL","60450","Grundy","0.850671","0.873263","0.840126","0.852397","1 out of 10","3 out of 9","3 out of 10","0.883472","0.908094","0.888891","0.855538","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.850454","0.881967","0 out of 10","5 out of 9","5 out of 10","0.032229","0.023178","0.026485","0.017264","10 out of 10","9 out of 9","10 out of 10"
"140103","ST BERNARD HOSPITAL","326 W 64TH ST","CHICAGO","IL","60621","Cook","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.888220","0.897924","6 out of 10","4 out of 9","6 out of 10","0.882334","0.907906","0.859745","0.900774","7 out of 10","8 out of 9","8 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"140110","OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER","1100 EAST NORRIS DRIVE","OTTAWA","IL","61350","La Salle","0.850671","0.873263","0.828657","0.866853","7 out of 10","8 out of 9","8 out of 10","0.883472","0.908094","0.881442","0.875511","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.876560","0.885280","2 out of 10","2 out of 9","2 out of 10","0.032229","0.023178","0.035053","Not Available","Not Available","Not Available","Not Available"
"140113","OSF HEART OF MARY MEDICAL CENTER","1400 WEST PARK AVENUE","URBANA","IL","61801","Champaign","0.850671","0.873263","0.858089","0.873211","9 out of 10","9 out of 9","9 out of 10","0.883472","0.908094","0.852249","0.857132","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.856133","0.891541","4 out of 10","6 out of 9","6 out of 10","0.032229","0.023178","0.041723","0.026766","6 out of 10","8 out of 9","8 out of 10"
"140114","SWEDISH COVENANT HOSPITAL","5145 N CALIFORNIA AVE","CHICAGO","IL","60625","Cook","0.850671","0.873263","0.865073","0.889849","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.900488","0.903275","8 out of 10","3 out of 9","8 out of 10","0.882334","0.907906","0.906422","0.918978","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.038128","0.026195","7 out of 10","7 out of 9","7 out of 10"
"140115","THOREK MEMORIAL HOSPITAL","850 W IRVING PARK RD","CHICAGO","IL","60613","Cook","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.900476","0.889370","3 out of 10","0 out of 9","3 out of 10","0.882334","0.907906","0.905830","0.894090","5 out of 10","0 out of 9","5 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"140116","NORTHWESTERN MEDICINE MCHENRY HOSPITAL","4201 MEDICAL CENTER DRIVE","MCHENRY","IL","60050","McHenry","0.850671","0.873263","0.872804","0.863746","6 out of 10","0 out of 9","6 out of 10","0.883472","0.908094","0.894066","0.897567","6 out of 10","2 out of 9","6 out of 10","0.882334","0.907906","0.880656","0.910032","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.041509","0.025350","7 out of 10","8 out of 9","8 out of 10"
"140117","PRESENCE RESURRECTION MEDICAL CENTER","7435 W TALCOTT AVENUE","CHICAGO","IL","60631","Cook","0.850671","0.873263","0.854179","0.887895","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.885274","0.887496","2 out of 10","0 out of 9","2 out of 10","0.882334","0.907906","0.903598","0.908543","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.024492","0.023523","9 out of 10","7 out of 9","9 out of 10"
"140118","METROSOUTH MEDICAL CENTER","12935 S GREGORY","BLUE ISLAND","IL","60406","Cook","0.850671","0.873263","0.858030","0.870721","8 out of 10","8 out of 9","8 out of 10","0.883472","0.908094","0.905678","0.886999","2 out of 10","0 out of 9","2 out of 10","0.882334","0.907906","0.900237","0.902948","8 out of 10","3 out of 9","8 out of 10","0.032229","0.023178","0.039482","0.022172","10 out of 10","9 out of 9","10 out of 10"
"140119","RUSH UNIVERSITY MEDICAL CENTER","1653 WEST CONGRESS PARKWAY","CHICAGO","IL","60612","Cook","0.850671","0.873263","0.852025","0.853648","2 out of 10","0 out of 9","2 out of 10","0.883472","0.908094","0.923630","0.921461","10 out of 10","0 out of 9","10 out of 10","0.882334","0.907906","0.909837","0.912299","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.035924","0.029182","4 out of 10","5 out of 9","5 out of 10"
"140120","PEKIN MEMORIAL HOSPITAL","600 SOUTH 13TH STREET","PEKIN","IL","61554","Tazewell","0.850671","0.873263","0.853064","0.871126","9 out of 10","8 out of 9","9 out of 10","0.883472","0.908094","0.877925","0.882413","0 out of 10","1 out of 9","1 out of 10","0.882334","0.907906","0.875239","0.907957","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.025751","0.020467","10 out of 10","9 out of 9","10 out of 10"
"140122","ADVENTIST HINSDALE HOSPITAL","120 NORTH OAK ST","HINSDALE","IL","60521","DuPage","0.850671","0.873263","0.865468","0.883903","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.893694","0.891355","3 out of 10","0 out of 9","3 out of 10","0.882334","0.907906","0.915004","0.908301","10 out of 10","0 out of 9","10 out of 10","0.032229","0.023178","0.027529","0.019776","10 out of 10","9 out of 9","10 out of 10"
"140124","JOHN H STROGER JR HOSPITAL","1901 W HARRISON ST","CHICAGO","IL","60612","Cook","0.850671","0.873263","0.853994","0.881813","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.896680","0.886564","2 out of 10","0 out of 9","2 out of 10","0.882334","0.907906","0.890763","0.899670","7 out of 10","5 out of 9","7 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"140125","GATEWAY REGIONAL MEDICAL CENTER","2100 MADISON AVENUE","GRANITE CITY","IL","62040","Madison","0.850671","0.873263","0.844588","0.863543","6 out of 10","6 out of 9","6 out of 10","0.883472","0.908094","0.892001","0.861789","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.890373","0.879035","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","0.027441","0.026569","6 out of 10","2 out of 9","6 out of 10"
"140127","ADVOCATE BROMENN MEDICAL CENTER","1304 FRANKLIN AVENUE","NORMAL","IL","61761","McLean","0.850671","0.873263","0.864075","0.865910","7 out of 10","1 out of 9","7 out of 10","0.883472","0.908094","0.866934","0.857001","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.865251","0.892210","4 out of 10","6 out of 9","6 out of 10","0.032229","0.023178","0.029047","0.024333","8 out of 10","8 out of 9","8 out of 10"
"140130","NORTHWESTERN LAKE FOREST HOSPITAL","1000 N WESTMORELAND ROAD","LAKE FOREST","IL","60045","Lake","0.850671","0.873263","0.863620","0.891413","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.888167","0.906095","9 out of 10","8 out of 9","9 out of 10","0.882334","0.907906","0.900864","0.903728","8 out of 10","4 out of 9","8 out of 10","0.032229","0.023178","0.029573","0.028610","4 out of 10","1 out of 9","4 out of 10"
"140133","HOLY CROSS HOSPITAL","2701 W 68TH STREET","CHICAGO","IL","60629","Cook","0.850671","0.873263","0.837981","0.882921","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.887229","0.897188","6 out of 10","4 out of 9","6 out of 10","0.882334","0.907906","0.881655","0.893171","4 out of 10","4 out of 9","4 out of 10","0.032229","0.023178","0.042691","0.022773","10 out of 10","9 out of 9","10 out of 10"
"140135","DECATUR MEMORIAL HOSPITAL","2300 NORTH EDWARD STREET","DECATUR","IL","62526","Macon","0.850671","0.873263","0.828696","0.855363","2 out of 10","5 out of 9","5 out of 10","0.883472","0.908094","0.868389","0.900067","7 out of 10","7 out of 9","7 out of 10","0.882334","0.907906","0.867051","0.896428","5 out of 10","7 out of 9","7 out of 10","0.032229","0.023178","0.021079","0.014528","10 out of 10","9 out of 9","10 out of 10"
"140137","GREENVILLE REGIONAL HOSPITAL","200 HEALTH CARE DR","GREENVILLE","IL","62246","Bond","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.878230","0.881246","0 out of 10","1 out of 9","1 out of 10","0.882334","0.907906","0.893541","0.899250","6 out of 10","3 out of 9","6 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"140143","ST MARGARETS HOSPITAL","600 E 1ST ST","SPRING VALLEY","IL","61362","Bureau","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.887067","0.860677","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.877147","0.899288","6 out of 10","7 out of 9","7 out of 10","0.032229","0.023178","0.044774","0.033004","0 out of 10","5 out of 9","5 out of 10"
"140145","ST JOSEPHS HOSPITAL","9515 HOLY CROSS LN","BREESE","IL","62230","Clinton","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.863661","0.881864","0 out of 10","4 out of 9","4 out of 10","0.882334","0.907906","0.882385","0.893466","4 out of 10","4 out of 9","4 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"140147","RICHLAND MEMORIAL HOSPITAL","800 EAST LOCUST","OLNEY","IL","62450","Richland","0.850671","0.873263","0.840846","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.870887","0.860100","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.896408","0.896668","6 out of 10","0 out of 9","6 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"140148","MEMORIAL MEDICAL CENTER","701 N FIRST ST","SPRINGFIELD","IL","62702","Sangamon","0.850671","0.873263","0.863423","0.878467","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.868822","0.855008","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.871969","0.872483","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","0.027300","0.020382","10 out of 10","9 out of 9","10 out of 10"
"140150","UNIVERSITY OF ILLINOIS HOSPITAL","1740 WEST TAYLOR ST SUITE 1400","CHICAGO","IL","60612","Cook","0.850671","0.873263","0.845399","0.872419","9 out of 10","9 out of 9","9 out of 10","0.883472","0.908094","0.907023","0.897586","6 out of 10","0 out of 9","6 out of 10","0.882334","0.907906","0.893742","0.903711","8 out of 10","7 out of 9","8 out of 10","0.032229","0.023178","0.039883","0.026621","6 out of 10","7 out of 9","7 out of 10"
"140155","PRESENCE ST MARYS HOSPITAL","500 W COURT ST","KANKAKEE","IL","60901","Kankakee","0.850671","0.873263","0.849392","0.881565","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.882701","0.894325","4 out of 10","4 out of 9","4 out of 10","0.882334","0.907906","0.908214","0.897057","6 out of 10","0 out of 9","6 out of 10","0.032229","0.023178","0.043021","0.020503","10 out of 10","9 out of 9","10 out of 10"
"140158","MERCY HOSPITAL AND MEDICAL CENTER","2525 S MICHIGAN AVE","CHICAGO","IL","60616","Cook","0.850671","0.873263","0.863184","0.876460","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.903616","0.897132","5 out of 10","0 out of 9","5 out of 10","0.882334","0.907906","0.869671","0.904119","8 out of 10","9 out of 9","9 out of 10","0.032229","0.023178","0.035395","0.031304","1 out of 10","3 out of 9","3 out of 10"
"140160","FHN MEMORIAL HOSPITAL","1045 WEST STEPHENSON STREET","FREEPORT","IL","61032","Stephenson","0.850671","0.873263","0.836251","0.867319","7 out of 10","8 out of 9","8 out of 10","0.883472","0.908094","0.867490","0.876233","0 out of 10","2 out of 9","2 out of 10","0.882334","0.907906","0.885692","0.894030","5 out of 10","3 out of 9","5 out of 10","0.032229","0.023178","0.024171","0.023248","9 out of 10","9 out of 9","9 out of 10"
"140161","SAINT JAMES HOSPITAL","2500 WEST REYNOLDS STREET","PONTIAC","IL","61764","Livingston","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.878864","0.853724","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.867232","0.870180","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","0.032905","0.021584","10 out of 10","9 out of 9","10 out of 10"
"140162","ST JOSEPH MEDICAL CENTER","2200 E WASHINGTON","BLOOMINGTON","IL","61701","McLean","0.850671","0.873263","0.831796","0.882451","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.852816","0.882769","0 out of 10","5 out of 9","5 out of 10","0.882334","0.907906","0.863250","0.887145","2 out of 10","5 out of 9","5 out of 10","0.032229","0.023178","0.026077","0.024124","9 out of 10","6 out of 9","9 out of 10"
"140164","MEMORIAL HOSPITAL OF CARBONDALE","405 W JACKSON","CARBONDALE","IL","62901","Jackson","0.850671","0.873263","0.863476","0.874225","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.882171","0.882645","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.863240","0.901538","7 out of 10","8 out of 9","8 out of 10","0.032229","0.023178","0.033399","0.023865","9 out of 10","9 out of 9","9 out of 10"
"140166","ST MARYS HOSPITAL","1800 E LAKE SHORE DR","DECATUR","IL","62521","Macon","0.850671","0.873263","0.824709","0.888233","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.885686","0.866515","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.867891","0.886259","2 out of 10","4 out of 9","4 out of 10","0.032229","0.023178","0.041071","0.020353","10 out of 10","9 out of 9","10 out of 10"
"140172","FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS","20201 S CRAWFORD AVENUE","OLYMPIA FIELDS","IL","60461","Cook","0.850671","0.873263","0.852252","0.871669","9 out of 10","9 out of 9","9 out of 10","0.883472","0.908094","0.912194","0.895789","5 out of 10","0 out of 9","5 out of 10","0.882334","0.907906","0.880750","0.872026","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","0.039908","0.024858","8 out of 10","8 out of 9","8 out of 10"
"140174","PRESENCE MERCY MEDICAL CENTER","1325 N HIGHLAND AVENUE","AURORA","IL","60506","Kane","0.850671","0.873263","0.843993","0.875895","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.887267","0.885065","1 out of 10","0 out of 9","1 out of 10","0.882334","0.907906","0.897250","0.876675","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","0.034048","0.029234","3 out of 10","4 out of 9","4 out of 10"
"140177","JACKSON PARK HOSPITAL","7531 S STONY ISLAND AVE","CHICAGO","IL","60649","Cook","0.850671","0.873263","0.863068","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.892814","0.893413","4 out of 10","0 out of 9","4 out of 10","0.882334","0.907906","0.883891","0.905187","9 out of 10","8 out of 9","9 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"140179","LITTLE COMPANY OF MARY HOSPITAL","2800 W 95TH ST","EVERGREEN PARK","IL","60805","Cook","0.850671","0.873263","0.881740","0.873220","9 out of 10","0 out of 9","9 out of 10","0.883472","0.908094","0.886488","0.898217","6 out of 10","5 out of 9","6 out of 10","0.882334","0.907906","0.881148","0.907728","9 out of 10","9 out of 9","9 out of 10","0.032229","0.023178","0.049978","0.026560","6 out of 10","8 out of 9","8 out of 10"
"140180","PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER","2233 W DIVISION ST","CHICAGO","IL","60622","Cook","0.850671","0.873263","0.847433","0.883669","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.922134","0.915951","10 out of 10","0 out of 9","10 out of 10","0.882334","0.907906","0.889252","0.907159","9 out of 10","9 out of 9","9 out of 10","0.032229","0.023178","0.035254","0.027548","5 out of 10","6 out of 9","6 out of 10"
"140181","SOUTH SHORE HOSPITAL","8012 SOUTH CRANDON AVENUE","CHICAGO","IL","60617","Cook","0.850671","0.873263","0.840488","0.874525","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.899514","0.894910","5 out of 10","0 out of 9","5 out of 10","0.882334","0.907906","0.897218","0.885944","2 out of 10","0 out of 9","2 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"140182","ADVOCATE ILLINOIS MASONIC MEDICAL CENTER","836 WEST WELLINGTON AVENUE","CHICAGO","IL","60657","Cook","0.850671","0.873263","0.835052","0.880620","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.902434","0.899954","7 out of 10","0 out of 9","7 out of 10","0.882334","0.907906","0.877579","0.886804","2 out of 10","3 out of 9","3 out of 10","0.032229","0.023178","0.039959","0.031371","1 out of 10","5 out of 9","5 out of 10"
"140184","HEARTLAND REGIONAL MEDICAL CENTER","3333 W DE YOUNG","MARION","IL","62959","Williamson","0.850671","0.873263","0.847761","0.862202","5 out of 10","5 out of 9","5 out of 10","0.883472","0.908094","0.871270","0.892470","4 out of 10","5 out of 9","5 out of 10","0.882334","0.907906","0.881837","0.882866","1 out of 10","0 out of 9","1 out of 10","0.032229","0.023178","0.034547","0.028129","5 out of 10","5 out of 9","5 out of 10"
"140185","MEMORIAL HOSPITAL","4500 MEMORIAL DRIVE","BELLEVILLE","IL","62226","Saint Clair","0.850671","0.873263","0.869134","0.870763","9 out of 10","3 out of 9","9 out of 10","0.883472","0.908094","0.903571","0.904396","8 out of 10","1 out of 9","8 out of 10","0.882334","0.907906","0.870547","0.890779","3 out of 10","5 out of 9","5 out of 10","0.032229","0.023178","0.035151","0.024323","8 out of 10","9 out of 9","9 out of 10"
"140186","RIVERSIDE MEDICAL CENTER","350 N WALL ST","KANKAKEE","IL","60901","Kankakee","0.850671","0.873263","0.841125","0.877484","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.884828","0.888038","2 out of 10","1 out of 9","2 out of 10","0.882334","0.907906","0.900817","0.913302","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.027088","0.025102","8 out of 10","5 out of 9","8 out of 10"
"140187","HSHS ST ELIZABETH'S HOSPITAL","ONE ST ELIZABETH BOULEVARD","O FALLON","IL","62269","Saint Clair","0.850671","0.873263","0.851879","0.881797","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.873692","0.896890","5 out of 10","6 out of 9","6 out of 10","0.882334","0.907906","0.870263","0.892816","4 out of 10","5 out of 9","5 out of 10","0.032229","0.023178","0.049622","0.027869","5 out of 10","8 out of 9","8 out of 10"
"140189","SARAH BUSH LINCOLN HEALTH CENTER","1000 HEALTH CENTER DRIVE P O BOX 372","MATTOON","IL","61938","Coles","0.850671","0.873263","0.845899","0.871685","9 out of 10","9 out of 9","9 out of 10","0.883472","0.908094","0.894831","0.886632","2 out of 10","0 out of 9","2 out of 10","0.882334","0.907906","0.877301","0.903401","8 out of 10","8 out of 9","8 out of 10","0.032229","0.023178","0.042814","0.021655","10 out of 10","9 out of 9","10 out of 10"
"140191","INGALLS MEMORIAL HOSPITAL","1 INGALLS DRIVE","HARVEY","IL","60426","Cook","0.850671","0.873263","0.874599","0.878690","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.911726","0.910129","10 out of 10","0 out of 9","10 out of 10","0.882334","0.907906","0.906499","0.907340","9 out of 10","5 out of 9","9 out of 10","0.032229","0.023178","0.032895","0.021797","10 out of 10","9 out of 9","10 out of 10"
"140200","ELMHURST MEMORIAL HOSPITAL","155 EAST BRUSH HILL ROAD","ELMHURST","IL","60126","DuPage","0.850671","0.873263","0.843857","0.860576","4 out of 10","5 out of 9","5 out of 10","0.883472","0.908094","0.877386","0.896052","5 out of 10","6 out of 9","6 out of 10","0.882334","0.907906","0.912213","0.903816","8 out of 10","0 out of 9","8 out of 10","0.032229","0.023178","0.031519","0.027881","5 out of 10","4 out of 9","5 out of 10"
"140202","ADVOCATE CONDELL MEDICAL CENTER","801 S MILWAUKEE AVE","LIBERTYVILLE","IL","60048","Lake","0.850671","0.873263","0.864337","0.875427","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.887995","0.885199","1 out of 10","0 out of 9","1 out of 10","0.882334","0.907906","0.884597","0.899172","6 out of 10","6 out of 9","6 out of 10","0.032229","0.023178","0.026308","0.027050","6 out of 10","0 out of 9","6 out of 10"
"140206","NORWEGIAN-AMERICAN HOSPITAL","1044 N FRANCISCO AVE","CHICAGO","IL","60622","Cook","0.850671","0.873263","0.856638","0.884448","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.907334","0.895970","5 out of 10","0 out of 9","5 out of 10","0.882334","0.907906","0.889598","0.890322","3 out of 10","0 out of 9","3 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"140208","ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER","4440 W 95TH STREET","OAK LAWN","IL","60453","Cook","0.850671","0.873263","0.865981","0.873452","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.891806","0.904678","8 out of 10","7 out of 9","8 out of 10","0.882334","0.907906","0.896422","0.908159","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.046605","0.022659","10 out of 10","9 out of 9","10 out of 10"
"140209","METHODIST MEDICAL CENTER OF ILLINOIS","221 N E GLEN OAK AVE","PEORIA","IL","61636","Peoria","0.850671","0.873263","0.837115","0.856668","3 out of 10","5 out of 9","5 out of 10","0.883472","0.908094","0.875414","0.847342","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.865579","0.886662","2 out of 10","4 out of 9","4 out of 10","0.032229","0.023178","0.021740","0.024115","9 out of 10","0 out of 9","9 out of 10"
"140210","HARRISBURG MEDICAL CENTER","100 DOCTOR WARREN TUTTLE DR","HARRISBURG","IL","62946","Saline","0.850671","0.873263","0.844477","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.885696","0.882455","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.888257","0.879250","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"140211","DELNOR COMMUNITY HOSPITAL","300 RANDALL RD","GENEVA","IL","60134","Kane","0.850671","0.873263","0.857389","0.876723","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.882234","0.890771","3 out of 10","3 out of 9","3 out of 10","0.882334","0.907906","0.895794","0.914290","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.028863","0.024306","8 out of 10","8 out of 9","8 out of 10"
"140213","SILVER CROSS HOSPITAL  AND MEDICAL CENTERS","1900 SILVER CROSS BLVD","NEW LENOX","IL","60451","Will","0.850671","0.873263","0.853852","0.869307","8 out of 10","7 out of 9","8 out of 10","0.883472","0.908094","0.902014","0.890385","3 out of 10","0 out of 9","3 out of 10","0.882334","0.907906","0.899125","0.911086","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.038453","0.024518","8 out of 10","9 out of 9","9 out of 10"
"140217","PRESENCE SAINT JOSEPH HOSPITAL - ELGIN","77 N AIRLITE STREET","ELGIN","IL","60123","Kane","0.850671","0.873263","0.852053","0.876995","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.901214","0.887543","2 out of 10","0 out of 9","2 out of 10","0.882334","0.907906","0.898203","0.887641","2 out of 10","0 out of 9","2 out of 10","0.032229","0.023178","0.033300","0.017607","10 out of 10","9 out of 9","10 out of 10"
